pH,Ra(mol/kgw),m_Ra+2(mol/kgw),m_RaCl+(mol/kgw),m_RaCl2(mol/kgw),m_Ra(OH)+(mol/kgw),m_Ra(OH)2(mol/kgw),m_Ra(HCO3)+(mol/kgw),m_Ra(CO3)(mol/kgw),m_FhyOHRa+2(mol/kgw),fSorb,k1,totRa,sites
3.4,4.17909876985e-11,4.17784656106e-11,1.25153454394e-14,4.94299346846e-18,3.16847964581e-21,2.0455316206e-32,1.79624602523e-18,1.67624463237e-23,5.56109011927e-10,0.930103716845,9.9,5.979e-10,6.23e-06
3.5,3.3370486027e-11,3.3362453041e-11,8.02862916161e-15,2.53486109489e-18,3.20884666074e-21,2.61438352007e-32,1.81871241839e-18,2.14190083459e-23,5.64529513472e-10,0.944187178413,9.9,5.979e-10,6.23e-06
3.6,2.65928345646e-11,2.65876904124e-11,5.14101427899e-15,1.29850923789e-18,3.24059383306e-21,3.33116868957e-32,1.83617542139e-18,2.72835043603e-23,5.71307164848e-10,0.955522939347,9.9,5.979e-10,6.23e-06
3.7,2.11599985119e-11,2.11567072359e-11,3.28875791249e-15,6.65190178613e-19,3.26542567214e-21,4.23410498239e-32,1.84957349302e-18,3.4666224592e-23,5.76740000854e-10,0.964609468955,9.9,5.979e-10,6.23e-06
3.8,1.68188097318e-11,1.68167040864e-11,2.10344117511e-15,3.41141650905e-19,3.28477834915e-21,5.37138328956e-32,1.85968544865e-18,4.39574053249e-23,5.81081189624e-10,0.971870196134,9.9,5.979e-10,6.23e-06
3.9,1.33581074364e-11,1.33567593142e-11,1.3460763021e-15,1.75348507966e-19,3.29984399248e-21,6.80376859215e-32,1.86714237748e-18,5.56474831948e-23,5.84541891944e-10,0.977658291627,9.9,5.979e-10,6.23e-06
4.0,1.06041405703e-11,1.06032760764e-11,8.62527614544e-16,9.04411524924e-20,3.31160327598e-21,8.60788940448e-32,1.87244380205e-18,7.03523682774e-23,5.87295858872e-10,0.982264357635,9.9,5.979e-10,6.23e-06
4.1,8.41537966063e-12,8.41482391059e-12,5.53823788764e-16,4.68691400284e-20,3.32086022185e-21,1.08804025744e-31,1.8759745228e-18,8.88449063094e-23,5.89484619881e-10,0.9859251051,9.9,5.979e-10,6.23e-06
4.2,6.67741021295e-12,6.67705168112e-12,3.56625936666e-16,2.44386614282e-20,3.32827585191e-21,1.37432735881e-31,1.87802010861e-18,1.12093927792e-22,5.9122258947e-10,0.98883189461,9.9,5.979e-10,6.23e-06
4.3,5.29825894718e-12,5.29802655489e-12,2.30497193849e-16,1.28412610807e-20,3.33439911742e-21,1.73504824567e-31,1.87877999043e-18,1.41312527878e-22,5.92601740926e-10,0.991138553358,9.9,5.979e-10,6.23e-06
4.4,4.20430236668e-12,4.20415081295e-12,1.49665030451e-16,6.81087648984e-21,3.33969465362e-21,2.18965579387e-31,1.87837772562e-18,1.7801746905e-22,5.93695697754e-10,0.992968218152,9.9,5.979e-10,6.23e-06
4.5,3.33678872272e-12,3.33668911844e-12,9.77201952589e-17,3.6528326201e-21,3.34456755951e-21,2.7627466841e-31,1.87686835142e-18,2.2410181735e-22,5.94563211715e-10,0.994419152496,9.9,5.979e-10,6.23e-06
4.6,2.64894067448e-12,2.64887457482e-12,6.42198059186e-17,1.984573333e-21,3.34938576621e-21,3.4854552781e-31,1.8742429392e-18,2.81923059003e-22,5.95251060165e-10,0.995569592449,9.9,5.979e-10,6.23e-06
4.7,2.10357608179e-12,2.10353168902e-12,4.2517544562e-17,1.09411055891e-21,3.35450075192e-21,4.3972448131e-31,1.87043057466e-18,3.54408912239e-22,5.95796425264e-10,0.996481725904,9.9,5.979e-10,6.23e-06
4.8,1.67117437517e-12,1.67114412451e-12,2.83809471934e-17,6.12998983403e-22,3.36026746862e-21,5.54822005703e-31,1.86529808014e-18,4.45182719902e-22,5.96228827604e-10,0.997204926618,9.9,5.979e-10,6.23e-06
4.9,1.32831683464e-12,1.32829585996e-12,1.91117591133e-17,3.49404628433e-22,3.36706442091e-21,7.00213015631e-31,1.85864791322e-18,5.58709498779e-22,5.96571685937e-10,0.997778362879,9.9,5.979e-10,6.23e-06
5.0,1.05643536719e-12,1.05642052574e-12,1.29869635043e-17,2.02699810753e-22,3.3753149141e-21,8.84029382275e-31,1.85021486092e-18,7.00462190584e-22,5.9684356839e-10,0.998233090204,9.9,5.979e-10,6.23e-06
