pH,Ra(mol/kgw),m_Ra+2(mol/kgw),m_RaCl+(mol/kgw),m_RaCl2(mol/kgw),m_Ra(OH)+(mol/kgw),m_Ra(OH)2(mol/kgw),m_Ra(HCO3)+(mol/kgw),m_Ra(CO3)(mol/kgw),m_FhyOHRa+2(mol/kgw),fSorb,k1,totRa,sites
3.2,5.97170796334e-10,5.96890012377e-10,2.80558461379e-13,1.75925290251e-16,2.8061459976e-20,1.13632368566e-31,4.95419600896e-17,2.89991495835e-22,7.29211767169e-13,0.00121960807133,9.9,5.979e-10,6.23e-06
3.3,5.97042991992e-10,5.96817453121e-10,2.25363066607e-13,1.12831740838e-16,3.56502321515e-20,1.82301619194e-31,6.29369401023e-17,4.65213132703e-22,8.57016035167e-13,0.00143336345214,9.9,5.979e-10,6.23e-06
3.4,5.96887858806e-10,5.96706848614e-10,1.8085799356e-13,7.22821259728e-17,4.5244909765e-20,2.92075382084e-31,7.98708444059e-17,7.45298100428e-22,1.01214904957e-12,0.00169282688329,9.9,5.979e-10,6.23e-06
3.5,5.96697616248e-10,5.96552451129e-10,1.45017540042e-13,4.62560020618e-17,5.73680323029e-20,4.67376566815e-31,1.01264549696e-16,1.19253080278e-21,1.2023913713e-12,0.00201101145997,9.9,5.979e-10,6.23e-06
3.6,5.96461341425e-10,5.96344997692e-10,1.16185811734e-13,2.95711394311e-17,7.26765444082e-20,7.47051264013e-31,1.28275196694e-16,1.90595641904e-21,1.43866592195e-12,0.00240618594298,9.9,5.979e-10,6.23e-06
3.7,5.96163433023e-10,5.96070238508e-10,9.30131786043e-14,1.88858477271e-17,9.1995525421e-20,1.1928365004e-30,1.62355126072e-16,3.04294098937e-21,1.73657404243e-12,0.00290444384869,9.9,5.979e-10,6.23e-06
3.8,5.95781282139e-10,5.95706662141e-10,7.44025032186e-14,1.20490846184e-17,1.16359724127e-19,1.90276136919e-30,2.05324235298e-16,4.85327058897e-21,2.1187246621e-12,0.0035435990313,9.9,5.979e-10,6.23e-06
3.9,5.95281741453e-10,5.95222010197e-10,5.9463964942e-14,7.67836669672e-18,1.47064111058e-19,3.03231647661e-30,2.59457690566e-16,7.73297304373e-21,2.6182651264e-12,0.0043790910636,9.9,5.979e-10,6.23e-06
4.0,5.94615774092e-10,5.94567964084e-10,4.74773337131e-14,4.88635765813e-18,1.85724255111e-19,4.82780655154e-30,3.27590097566e-16,1.2309026539e-20,3.28423233264e-12,0.0054929351197,9.9,5.979e-10,6.23e-06
4.1,5.93710346631e-10,5.93672069417e-10,3.7860620942e-14,3.10418142767e-18,2.34346173845e-19,7.67869408296e-30,4.13235018757e-16,1.95721255778e-20,4.18965973145e-12,0.00700728109929,9.9,5.979e-10,6.23e-06
4.2,5.92456165066e-10,5.92425497918e-10,3.01441396247e-14,1.96748257561e-18,2.95402625165e-19,1.21992690698e-29,5.20713737365e-16,3.10834781753e-20,5.44384135432e-12,0.00910492546305,9.9,5.979e-10,6.23e-06
